Sample ID,Labelled substrate,Label pattern,abundance,Injection,Replicate,Conditions,Incubation time [value],Incubation time [units],data file ID,Retention time [value],Retention time [units],Metabolite name,CHEBI ID,atomic positions to the parent molecule,Empirical formula derivatized molecule/fragment,m/z monitored,signal intensity,isotopologue,Isotopologue [value],Isotopologue [units]
Ctr_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.4175,1,2,Ctr,0,hour,22_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,334,0,m6,-0.05,%
Ctr_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.4175,1,2,Ctr,0,hour,22_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,335,0,,,
Ctr_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.4175,1,2,Ctr,0,hour,22_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,336,54,,,
Ctr_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.4175,2,2,Ctr,0,hour,27_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,327,341,,,
Ctr_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.4175,2,2,Ctr,0,hour,27_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,328,73741,m0,58.55,%
Ctr_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.4175,2,2,Ctr,0,hour,27_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,329,12815,m1,0.68,%
Ctr_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.4175,2,2,Ctr,0,hour,27_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,330,57254,m2,40.15,%
Ctr_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.4175,2,2,Ctr,0,hour,27_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,331,7711,m3,0.02,%
Ctr_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.4175,2,2,Ctr,0,hour,27_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,332,1553,m4,0.71,%
Ctr_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.4175,2,2,Ctr,0,hour,27_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,333,102,m5,-0.09,%
Ctr_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.4175,2,2,Ctr,0,hour,27_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,334,19,m6,-0.01,%
Ctr_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.4175,2,2,Ctr,0,hour,27_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,335,0,,,
Ctr_0h_glc_r2_i2,Glucose,"1,1,0,0,0,0",0.4175,2,2,Ctr,0,hour,27_G2.CDF              ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,336,76,,,
ID8_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.3474,1,1,ID8,0,hour,17_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,327,587,,,
ID8_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.3474,1,1,ID8,0,hour,17_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,328,100979,m0,61.71,%
ID8_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.3474,1,1,ID8,0,hour,17_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,329,17190,m1,0.54,%
ID8_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.3474,1,1,ID8,0,hour,17_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,330,68910,m2,37.07,%
ID8_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.3474,1,1,ID8,0,hour,17_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,331,9179,m3,-0.04,%
ID8_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.3474,1,1,ID8,0,hour,17_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,332,1905,m4,0.68,%
ID8_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.3474,1,1,ID8,0,hour,17_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,333,344,m5,0.04,%
ID8_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.3474,1,1,ID8,0,hour,17_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,334,86,m6,0.01,%
ID8_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.3474,1,1,ID8,0,hour,17_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,335,53,,,
ID8_0h_glc_r1_i1,Glucose,"1,1,0,0,0,0",0.3474,1,1,ID8,0,hour,17_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,336,241,,,
ID8_0h_glc_r1_i2,Glucose,"1,1,0,0,0,0",0.3474,2,1,ID8,0,hour,28_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,327,962,,,
ID8_0h_glc_r1_i2,Glucose,"1,1,0,0,0,0",0.3474,2,1,ID8,0,hour,28_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,328,196565,m0,61.56,%
ID8_0h_glc_r1_i2,Glucose,"1,1,0,0,0,0",0.3474,2,1,ID8,0,hour,28_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,329,33489,m1,0.55,%
ID8_0h_glc_r1_i2,Glucose,"1,1,0,0,0,0",0.3474,2,1,ID8,0,hour,28_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,330,134897,m2,37.2,%
ID8_0h_glc_r1_i2,Glucose,"1,1,0,0,0,0",0.3474,2,1,ID8,0,hour,28_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,331,18435,m3,0.09,%
ID8_0h_glc_r1_i2,Glucose,"1,1,0,0,0,0",0.3474,2,1,ID8,0,hour,28_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,332,3581,m4,0.62,%
ID8_0h_glc_r1_i2,Glucose,"1,1,0,0,0,0",0.3474,2,1,ID8,0,hour,28_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,333,497,m5,-0.01,%
ID8_0h_glc_r1_i2,Glucose,"1,1,0,0,0,0",0.3474,2,1,ID8,0,hour,28_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,334,89,m6,-0.01,%
ID8_0h_glc_r1_i2,Glucose,"1,1,0,0,0,0",0.3474,2,1,ID8,0,hour,28_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,335,0,,,
ID8_0h_glc_r1_i2,Glucose,"1,1,0,0,0,0",0.3474,2,1,ID8,0,hour,28_G13.CDF             ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,336,0,,,
ID8_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.3474,1,2,ID8,0,hour,23C_G14.CDF            ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,327,461,,,
ID8_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.3474,1,2,ID8,0,hour,23C_G14.CDF            ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,328,68065,m0,66.14,%
ID8_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.3474,1,2,ID8,0,hour,23C_G14.CDF            ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,329,11378,m1,0.43,%
ID8_0h_glc_r2_i1,Glucose,"1,1,0,0,0,0",0.3474,1,2,ID8,0,hour,23C_G14.CDF            ,3.6,min,Glucose,CHEBI:17234,C1-C6,C14H18O8N,330,38749,m2,32.94,%
