Raw Data File,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,226332,Rib_13C1,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,163847,Rib_13C2,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,31919,Rib_13C3,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,30137,Rib_13C4,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,2751,Rib_13C5,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,873,,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,971,,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,1069286,Rib_13C0,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,203649,Rib_13C1,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,144834,Rib_13C2,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,29001,Rib_13C3,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,26841,Rib_13C4,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,2229,Rib_13C5,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,575,,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,1110,,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,884720,Rib_13C0,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,158921,Rib_13C1,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,102387,Rib_13C2,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,20957,Rib_13C3,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,18820,Rib_13C4,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,1831,Rib_13C5,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,409,,
RibHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,1074,,
