"Raw Data File","tracer molecule","labelled positions","Abundance [%]","Injection","Replicate","Incubation time [hours]","Metabolite name","CHEBI identifier","atomic positions of fragment","Empirical formula derivatized molecule/fragment","m/z monitored","signal intensity","isotopologue symbol","peaks abundances [%]"
"RibHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",524,"",NA
"RibHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",268880,"m0",82.651
"RibHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",51823,"m1",5.907
"RibHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",37490,"m2",8.533
"RibHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",7381,"m3",1.087
"RibHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",7234,"m4",1.779
"RibHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",771,"m5",0.043
"RibHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",206,"",NA
"RibHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",932,"",NA
"RibHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",1179902,"m0",82.872
"RibHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",226332,"m1",5.849
"RibHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",163847,"m2",8.523
"RibHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",31919,"m3",1.063
"RibHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",30137,"m4",1.681
"RibHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",2751,"m5",0.012
"RibHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",873,"",NA
"RibHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",971,"",NA
"RibHyp1_03.CDF","Glucose","1,1,0,0,0,0","48","3","1","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",1069286,"m0",83.191
