"Raw Data File",cells,"tracer molecule","labelled positions",abundance,"Parameter Value[injection]","Parameter Value[Replicate]","Factor Value[Incubation time]","Metabolite name","CHEBI identifier","atomic positions to the parent molecule/metabolite name","Empirical formula derivatized molecule/fragment",retention(min),"m/z monitored","signal intensity",isotopologue,"isotologue abundance relative concentration"
RibHyp2_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,0.001,,
RibHyp3_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,0,,
RibHyp3_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,0.724,Rib_13C0,
RibHyp3_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,0.133,Rib_13C1,
RibHyp3_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,0.087,Rib_13C2,
RibHyp3_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,0.027,Rib_13C3,
RibHyp3_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,0.026,Rib_13C4,
RibHyp3_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,0.003,Rib_13C5,
RibHyp3_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,0.001,,
RibHyp3_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,0,,
RibHyp3_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,0.725,Rib_13C0,
RibHyp3_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,0.133,Rib_13C1,
RibHyp3_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,0.088,Rib_13C2,
RibHyp3_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,0.027,Rib_13C3,
RibHyp3_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,0.025,Rib_13C4,
RibHyp3_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,0.002,Rib_13C5,
RibHyp3_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,0.001,,
RibHyp3_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,0,,
RibHyp3_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,0.724,Rib_13C0,
RibHyp3_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,0.132,Rib_13C1,
RibHyp3_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,0.088,Rib_13C2,
RibHyp3_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,0.027,Rib_13C3,
RibHyp3_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,0.025,Rib_13C4,
RibHyp3_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,0.002,Rib_13C5,
RibHyp3_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,0.001,,
RibNat1_01.CDF,hubec,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,0,,
RibNat1_01.CDF,hubec,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,0.857,Rib_13C0,
RibNat1_01.CDF,hubec,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,0.107,Rib_13C1,
RibNat1_01.CDF,hubec,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,0.029,Rib_13C2,
RibNat1_01.CDF,hubec,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,0.003,Rib_13C3,
RibNat1_01.CDF,hubec,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,0.003,Rib_13C4,
RibNat1_01.CDF,hubec,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,0,Rib_13C5,
RibNat1_01.CDF,hubec,,,,1,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,0,,
RibNat1_02.CDF,hubec,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,0,,
RibNat1_02.CDF,hubec,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,0.856,Rib_13C0,
RibNat1_02.CDF,hubec,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,0.108,Rib_13C1,
RibNat1_02.CDF,hubec,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,0.03,Rib_13C2,
RibNat1_02.CDF,hubec,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,0.003,Rib_13C3,
RibNat1_02.CDF,hubec,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,0.003,Rib_13C4,
RibNat1_02.CDF,hubec,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,0,Rib_13C5,
RibNat1_02.CDF,hubec,,,,2,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,0,,
RibNat1_03.CDF,hubec,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,255,0,,
RibNat1_03.CDF,hubec,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,256,0.858,Rib_13C0,
RibNat1_03.CDF,hubec,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,257,0.108,Rib_13C1,
RibNat1_03.CDF,hubec,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,258,0.028,Rib_13C2,
RibNat1_03.CDF,hubec,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,259,0.003,Rib_13C3,
RibNat1_03.CDF,hubec,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,260,0.003,Rib_13C4,
RibNat1_03.CDF,hubec,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,261,0,Rib_13C5,
RibNat1_03.CDF,hubec,,,,3,1,,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,5.28,262,0,,
GlycHyp1_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,327,0,,
GlycHyp1_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,328,0.532,Glyc_13C0,
GlycHyp1_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,329,0.087,Glyc_13C1,
GlycHyp1_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,330,0.31,Glyc_13C2,
GlycHyp1_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,331,0.047,Glyc_13C3,
GlycHyp1_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,332,0.019,Glyc_13C4,
GlycHyp1_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,333,0.002,Glyc_13C5,
GlycHyp1_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,334,0.003,Glyc_13C6,
GlycHyp1_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,335,127,,
GlycHyp1_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,327,1620,,
GlycHyp1_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,328,1769847,Glyc_13C0,
GlycHyp1_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,329,293369,Glyc_13C1,
GlycHyp1_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,330,1027502,Glyc_13C2,
GlycHyp1_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,331,142206,Glyc_13C3,
GlycHyp1_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,332,42838,Glyc_13C4,
GlycHyp1_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,333,5202,Glyc_13C5,
GlycHyp1_02.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,2,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,334,5315,Glyc_13C6,
GlycHyp1_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,327,1843,,
GlycHyp1_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,328,1911157,Glyc_13C0,
GlycHyp1_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,329,313581,Glyc_13C1,
GlycHyp1_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,330,1101163,Glyc_13C2,
GlycHyp1_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,331,154077,Glyc_13C3,
GlycHyp1_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,332,45115,Glyc_13C4,
GlycHyp1_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,333,5435,Glyc_13C5,
GlycHyp1_03.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,334,5482,Glyc_13C6,
GlycHyp2_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,327,2513,,
GlycHyp2_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,328,3363647,Glyc_13C0,
GlycHyp2_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,329,550138,Glyc_13C1,
GlycHyp2_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,330,2156304,Glyc_13C2,
GlycHyp2_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,331,296382,Glyc_13C3,
GlycHyp2_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,332,81887,Glyc_13C4,
GlycHyp2_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,333,9870,Glyc_13C5,
GlycHyp2_01.CDF,hubec,"D-[1,2-C13]-Glucose","1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,3.74,334,8296,Glyc_13C6,
