Raw_Data_File,cells,tracer_molecule,labelled_positions,abundance,injection,Replicate,Incubation_time,Metabolite_name,CHEBI,atomic_positions,Empirical_formula,retention(min),m/z_monitored,signal_intensity,isotopologue,isotologue_abundance
Glc_BEAS2B_24h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,7268,m6,7268

Glu_BEAS2B_24h_COLD_1_02,Glu,,,,COLD,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,151,85204,m-1,85204
Glu_BEAS2B_24h_COLD_1_02,Glu,,,,COLD,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,152,10130701,m0,10130701
Glu_BEAS2B_24h_COLD_1_02,Glu,,,,COLD,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,153,1590309,m1,1590309
Glu_BEAS2B_24h_COLD_1_02,Glu,,,,COLD,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,154,190822,m2,190822
Glu_BEAS2B_24h_COLD_1_02,Glu,,,,COLD,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,155,39370,m3,39370
Glu_BEAS2B_24h_COLD_1_02,Glu,,,,COLD,02,BEAS2B,Glutamate2-4,chebi,C2C4,C5H5O1N1F3,3.79,156,44646,m4,44646
Glu_BEAS2B_24h_COLD_1_02,Glu,,,,COLD,02,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,197,82600,m-1,82600
Glu_BEAS2B_24h_COLD_1_02,Glu,,,,COLD,02,BEAS2B,Glutamate2-5,chebi,C2C5,C6H7O3N1F3,3.79,198,10840326,m0,10840326
